line_id,order_id,sale_date,customer_id,city,sales_channel,customer_segment,payment_method,product_id,product_name,category,brand,promo_campaign,discount_pct,quantity,unit_price_rub,unit_cost_rub,returned
L000016,ORD001230,2025-04-14,C00807,Казань,Магазин,VIP,Карта,P039,Аудио Marshall Model 39,Аудио,Marshall,Без акции,0.0681,1,35026.02,24300.72,0
L000017,ORD005809,2025-10-30,C01190,Москва,Сайт,Новый,Карта,P057,Игровая техника Logitech Model 57,Игровая техника,Logitech,Weekend,0.0457,1,71514.32,54246.73,0
L000018,ORD003320,2025-08-23,C01482,Москва,Магазин,VIP,Рассрочка,P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,Без акции,0.0683,1,151387.04,102782.12,0
L000019,ORD000708,2025-11-02,C00615,Самара,Магазин,VIP,Рассрочка,P054,Аксессуары Apple Model 54,Аксессуары,Apple,Weekend,0.0881,1,2958.31,2001.92,0
L000020,ORD001633,2025-11-25,C02388,Казань,Маркетплейс,Регулярный,Карта,P047,Аксессуары Baseus Model 47,Аксессуары,Baseus,Black Friday,0.2043,1,529.59,388.28,0
L000021,ORD000696,2025-08-20,C02015,Екатеринбург,Сайт,Регулярный,Рассрочка,P040,Аудио Xiaomi Model 40,Аудио,Xiaomi,Back-to-school,0.1396,1,22173.62,14304.01,0
L000022,ORD002687,2025-05-09,C01548,Екатеринбург,Сайт,Регулярный,Карта,P011,Ноутбуки Apple Model 11,Ноутбуки,Apple,Без акции,0.0228,1,111028.61,86285.71,0
L000023,ORD004664,2025-08-04,C00240,Самара,Магазин,Регулярный,СБП,P055,Игровая техника Sony Model 55,Игровая техника,Sony,Без акции,0.0336,1,11592.07,8625.37,0
L000024,ORD004267,2025-07-14,C01037,Новосибирск,Магазин,Новый,Наличные,P027,Бытовая техника Bosch Model 27,Бытовая техника,Bosch,Weekend,0.1147,1,7968.99,6165.46,0
L000025,ORD001333,2025-05-09,C00037,Самара,Магазин,Новый,Наличные,P036,Бытовая техника Haier Model 36,Бытовая техника,Haier,Без акции,0.0387,1,92876.39,77206.34,0
L000026,ORD004603,2025-01-04,C01387,Самара,Маркетплейс,Регулярный,СБП,P024,Телевизоры Samsung Model 24,Телевизоры,Samsung,Без акции,0.0345,1,22641.47,16118.7,0
L000027,ORD005124,2025-12-12,C00807,Москва,Сайт,VIP,Карта,P029,Бытовая техника LG Model 29,Бытовая техника,LG,Новый год,0.1827,1,85986.41,67775.39,0
L000028,ORD000581,2025-02-26,C01699,Казань,Маркетплейс,Новый,Карта,P040,Аудио Xiaomi Model 40,Аудио,Xiaomi,Без акции,0.0251,1,23841.68,15411.91,0
L000029,ORD005466,2025-08-09,C00071,Казань,Маркетплейс,Регулярный,Карта,P024,Телевизоры Samsung Model 24,Телевизоры,Samsung,Back-to-school,0.1409,1,22447.78,15409.04,0
L000030,ORD004394,2025-08-03,C01413,Новосибирск,Маркетплейс,Новый,СБП,P059,Игровая техника HyperX Model 59,Игровая техника,HyperX,Back-to-school,0.1258,1,33300.7,22245.94,0
L000031,ORD003759,2025-02-11,C00275,Санкт-Петербург,Магазин,Новый,Рассрочка,P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,Без акции,0.0537,1,159881.01,107810.87,0
L000032,ORD004727,2025-08-28,C01957,Москва,Сайт,Регулярный,СБП,P018,Ноутбуки ASUS Model 18,Ноутбуки,ASUS,Без акции,0.0202,3,45042.04,36299.53,0
L000033,ORD001416,2025-06-29,C01651,Москва,Магазин,Регулярный,СБП,P044,Аудио Marshall Model 44,Аудио,Marshall,Без акции,0.0413,1,40497.25,34110.91,0
L000034,ORD003640,2025-10-25,C01909,Екатеринбург,Маркетплейс,Регулярный,Карта,P030,Бытовая техника Philips Model 30,Бытовая техника,Philips,Weekend,0.083,1,11908.92,7500.28,0
L000035,ORD000042,2025-05-17,C02293,Самара,Сайт,Регулярный,СБП,P012,Ноутбуки Lenovo Model 12,Ноутбуки,Lenovo,Без акции,0.0322,1,174403.3,134204.25,0
L000036,ORD000655,2025-07-30,C01286,Екатеринбург,Магазин,Регулярный,Наличные,P035,Бытовая техника Philips Model 35,Бытовая техника,Philips,Без акции,0.0101,1,7769.46,5003.2,0
L000037,ORD003561,2025-11-28,C01650,Екатеринбург,Магазин,Регулярный,Наличные,P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,Black Friday,0.1999,2,145970.32,102142.55,0
L000038,ORD001046,2025-12-30,C00459,Санкт-Петербург,Магазин,Новый,Карта,P058,Игровая техника ASUS Model 58,Игровая техника,ASUS,Новый год,0.1287,1,12475.94,10080.9,0
L000039,ORD000122,2025-03-23,C01522,Казань,Маркетплейс,Регулярный,Карта,P008,Смартфоны Xiaomi Model 08,Смартфоны,Xiaomi,Без акции,0.0815,1,93619.95,56817.62,0
L000040,ORD004431,2025-08-12,C00489,Казань,Сайт,Регулярный,Карта,P058,Игровая техника ASUS Model 58,Игровая техника,ASUS,Без акции,0.0558,1,13511.25,9798.15,0
L000041,ORD003929,2025-06-21,C01077,Санкт-Петербург,Магазин,Регулярный,Наличные,P058,Игровая техника ASUS Model 58,Игровая техника,ASUS,Без акции,0.0463,1,13277.69,9652.46,0
L000042,ORD002641,2025-07-23,C01756,Казань,Магазин,VIP,Карта,P017,Ноутбуки Lenovo Model 17,Ноутбуки,Lenovo,Без акции,0.0,1,69718.37,49645.47,0
L000043,ORD000333,2025-11-04,C00814,Москва,Маркетплейс,Регулярный,Карта,P053,Аксессуары Samsung Model 53,Аксессуары,Samsung,Без акции,0.0768,1,1779.6,1382.35,0
L000044,ORD003847,2025-01-27,C01622,Москва,Магазин,Регулярный,Карта,P059,Игровая техника HyperX Model 59,Игровая техника,HyperX,Weekend,0.0985,1,33408.27,21534.24,0
L000045,ORD002336,2025-10-04,C01774,Екатеринбург,Магазин,Регулярный,СБП,P047,Аксессуары Baseus Model 47,Аксессуары,Baseus,Без акции,0.0395,1,526.88,404.94,0
L000046,ORD000965,2025-07-14,C02012,Москва,Сайт,Регулярный,Рассрочка,P005,Смартфоны realme Model 05,Смартфоны,realme,Weekend,0.0552,1,47831.31,31622.57,0
L000047,ORD000822,2025-10-08,C01585,Новосибирск,Сайт,Регулярный,СБП,P033,Бытовая техника Samsung Model 33,Бытовая техника,Samsung,Без акции,0.0445,2,22812.03,17152.33,0
L000048,ORD002742,2025-06-07,C01879,Самара,Магазин,Регулярный,СБП,P023,Телевизоры Hisense Model 23,Телевизоры,Hisense,Weekend,0.0873,1,139803.1,99555.22,0
L000049,ORD001735,2025-03-01,C00260,Новосибирск,Сайт,Регулярный,СБП,P055,Игровая техника Sony Model 55,Игровая техника,Sony,Без акции,0.0828,1,11625.32,9185.28,0
L000050,ORD004576,2025-10-03,C00170,Самара,Магазин,Регулярный,Карта,P039,Аудио Marshall Model 39,Аудио,Marshall,Без акции,0.0257,1,34197.89,24675.64,0
L000051,ORD000449,2025-12-07,C01312,Москва,Сайт,VIP,Карта,P024,Телевизоры Samsung Model 24,Телевизоры,Samsung,Без акции,0.0282,1,20969.81,16107.82,0
L000052,ORD004475,2025-07-13,C00754,Самара,Магазин,Новый,Наличные,P041,Аудио Philips Model 41,Аудио,Philips,Weekend,0.0575,1,3116.43,2111.22,0
L000053,ORD003056,2025-09-05,C02114,Новосибирск,Магазин,Новый,Карта,P029,Бытовая техника LG Model 29,Бытовая техника,LG,Back-to-school,0.1486,1,93398.74,67372.15,0
L000054,ORD001261,2025-05-25,C02388,Москва,Сайт,Регулярный,СБП,P047,Аксессуары Baseus Model 47,Аксессуары,Baseus,Без акции,0.0,1,515.92,394.9,0
L000055,ORD002319,2025-02-28,C01610,Казань,Сайт,Регулярный,Карта,P041,Аудио Philips Model 41,Аудио,Philips,Без акции,0.0492,1,3016.86,2161.09,0
L000056,ORD002811,2025-06-14,C02069,Самара,Маркетплейс,Регулярный,СБП,P032,Бытовая техника Bosch Model 32,Бытовая техника,Bosch,Без акции,0.0326,1,62152.99,39396.92,0
L000057,ORD004505,2025-05-21,C01104,Казань,Магазин,Новый,Рассрочка,P040,Аудио Xiaomi Model 40,Аудио,Xiaomi,Без акции,0.0401,1,23053.56,14635.65,1
L000058,ORD001837,2025-09-12,C00619,Санкт-Петербург,Магазин,Новый,Карта,P021,Телевизоры Sony Model 21,Телевизоры,Sony,Back-to-school,0.1176,1,24241.62,16509.63,0
L000059,ORD001997,2025-11-16,C00981,Москва,Сайт,Регулярный,Карта,P050,Аксессуары Logitech Model 50,Аксессуары,Logitech,Без акции,0.0723,1,16079.74,12130.04,0
L000060,ORD004770,2025-12-06,C00861,Санкт-Петербург,Магазин,Регулярный,Карта,P009,Смартфоны Honor Model 09,Смартфоны,Honor,Без акции,0.0245,1,120996.96,80805.27,0
L000061,ORD002631,2025-12-29,C00256,Казань,Сайт,Регулярный,Рассрочка,P033,Бытовая техника Samsung Model 33,Бытовая техника,Samsung,Новый год,0.1494,1,22414.42,16653.28,0
L000062,ORD000584,2025-01-06,C02231,Казань,Маркетплейс,Регулярный,Карта,P022,Телевизоры TCL Model 22,Телевизоры,TCL,Без акции,0.0,1,42998.16,31152.99,0
L000063,ORD004516,2025-08-15,C01150,Новосибирск,Сайт,VIP,Рассрочка,P044,Аудио Marshall Model 44,Аудио,Marshall,Без акции,0.0572,1,40994.37,33986.44,0
L000064,ORD002428,2025-09-14,C01533,Казань,Магазин,VIP,Наличные,P041,Аудио Philips Model 41,Аудио,Philips,Back-to-school,0.0693,1,3170.07,2065.78,0
L000065,ORD004125,2025-05-10,C01076,Москва,Магазин,Новый,Карта,P006,Смартфоны Apple Model 06,Смартфоны,Apple,Без акции,0.0125,1,38164.82,30626.52,0
L000066,ORD004710,2025-10-20,C00027,Москва,Магазин,Регулярный,Карта,P029,Бытовая техника LG Model 29,Бытовая техника,LG,Без акции,0.0186,1,89821.12,69368.77,0
L000067,ORD001488,2025-11-03,C00803,Санкт-Петербург,Магазин,VIP,Карта,P041,Аудио Philips Model 41,Аудио,Philips,Без акции,0.042,1,3073.97,2093.68,0
L000068,ORD005114,2025-12-27,C01377,Москва,Маркетплейс,Новый,Карта,P056,Игровая техника Microsoft Model 56,Игровая техника,Microsoft,Новый год,0.1462,1,6702.26,4000.21,0
L000069,ORD005569,2025-08-09,C02129,Санкт-Петербург,Магазин,Новый,Карта,P009,Смартфоны Honor Model 09,Смартфоны,Honor,Без акции,0.0263,1,117409.61,83254.51,0
L000070,ORD002300,2025-12-06,C00345,Казань,Сайт,Новый,Карта,P002,Смартфоны Samsung Model 02,Смартфоны,Samsung,Без акции,0.0625,1,98777.6,69552.55,0
L000071,ORD001625,2025-05-21,C02155,Казань,Магазин,Новый,Наличные,P009,Смартфоны Honor Model 09,Смартфоны,Honor,Без акции,0.0,1,124069.35,78356.19,0
L000072,ORD005351,2025-10-21,C01074,Самара,Сайт,Регулярный,СБП,P055,Игровая техника Sony Model 55,Игровая техника,Sony,Без акции,0.0154,1,11847.87,8533.61,1
L000073,ORD005646,2025-06-26,C02190,Санкт-Петербург,Маркетплейс,Регулярный,Карта,P059,Игровая техника HyperX Model 59,Игровая техника,HyperX,Weekend,0.0806,1,31814.45,22197.4,0
L000074,ORD003913,2025-05-19,C01438,Новосибирск,Магазин,Новый,Наличные,P038,Аудио Sony Model 38,Аудио,Sony,Без акции,0.074,1,16389.6,13131.3,0
L000075,ORD002124,2025-12-24,C01718,Москва,Магазин,Регулярный,Наличные,P057,Игровая техника Logitech Model 57,Игровая техника,Logitech,Новый год,0.1435,1,74410.14,54874.59,0
L000076,ORD005613,2025-10-05,C00502,Казань,Сайт,Новый,СБП,P036,Бытовая техника Haier Model 36,Бытовая техника,Haier,Без акции,0.0349,1,95345.3,77685.42,0
L000077,ORD001339,2025-03-29,C01778,Самара,Сайт,Новый,Карта,P002,Смартфоны Samsung Model 02,Смартфоны,Samsung,Без акции,0.0,2,96883.54,69800.44,0
L000078,ORD004278,2025-12-16,C01352,Москва,Магазин,Регулярный,Рассрочка,P029,Бытовая техника LG Model 29,Бытовая техника,LG,Новый год,0.1342,2,98386.7,69870.45,0
L000079,ORD001133,2025-02-11,C00913,Самара,Сайт,Регулярный,СБП,P053,Аксессуары Samsung Model 53,Аксессуары,Samsung,Без акции,0.03,1,1775.56,1443.73,0
L000080,ORD001285,2025-03-24,C00037,Самара,Маркетплейс,Новый,Карта,P054,Аксессуары Apple Model 54,Аксессуары,Apple,Без акции,0.0446,2,2946.52,1997.96,0
L000081,ORD003764,2025-04-16,C00919,Санкт-Петербург,Маркетплейс,Новый,Карта,P018,Ноутбуки ASUS Model 18,Ноутбуки,ASUS,Weekend,0.1012,1,43094.77,35106.22,0
L000082,ORD002226,2025-01-14,C01351,Екатеринбург,Сайт,Регулярный,Карта,P045,Аксессуары Logitech Model 45,Аксессуары,Logitech,Без акции,0.0281,1,3326.05,2495.94,0
L000083,ORD000272,2025-10-14,C00954,Казань,Магазин,Новый,Карта,P028,Бытовая техника Samsung Model 28,Бытовая техника,Samsung,Без акции,0.0597,1,8165.96,4721.33,0
L000084,ORD003802,2025-09-27,C02356,Екатеринбург,Магазин,Регулярный,Наличные,P013,Ноутбуки ASUS Model 13,Ноутбуки,ASUS,Без акции,0.0152,1,81145.05,51431.59,0
L000085,ORD001934,2025-01-10,C00890,Москва,Магазин,Новый,Карта,P046,Аксессуары Xiaomi Model 46,Аксессуары,Xiaomi,Без акции,0.038,1,519.36,414.91,0
L000086,ORD004874,2025-11-18,C01551,Москва,Сайт,Новый,Рассрочка,P013,Ноутбуки ASUS Model 13,Ноутбуки,ASUS,Без акции,0.0537,1,85898.93,49890.06,0
L000087,ORD003391,2025-09-05,C00529,Москва,Сайт,Регулярный,СБП,P007,Смартфоны Samsung Model 07,Смартфоны,Samsung,Без акции,0.0,1,18407.74,11711.73,0
L000088,ORD003438,2025-03-19,C02130,Санкт-Петербург,Маркетплейс,Регулярный,Карта,P022,Телевизоры TCL Model 22,Телевизоры,TCL,Без акции,0.0463,1,44598.2,32260.18,0
L000089,ORD003694,2025-05-28,C01606,Санкт-Петербург,Сайт,Регулярный,СБП,P013,Ноутбуки ASUS Model 13,Ноутбуки,ASUS,Без акции,0.0291,2,84729.94,50424.98,0
L000090,ORD002594,2025-08-22,C01903,Новосибирск,Магазин,Регулярный,СБП,P044,Аудио Marshall Model 44,Аудио,Marshall,Back-to-school,0.1031,1,43697.12,35555.13,0
L000091,ORD002491,2025-08-23,C00704,Москва,Магазин,Регулярный,СБП,P053,Аксессуары Samsung Model 53,Аксессуары,Samsung,Back-to-school,0.1092,1,1817.66,1403.63,0
L000092,ORD002883,2025-03-13,C02001,Москва,Сайт,Новый,СБП,P059,Игровая техника HyperX Model 59,Игровая техника,HyperX,Без акции,0.01,1,34069.47,22133.79,0
L000093,ORD004976,2025-06-05,C00586,Казань,Магазин,Регулярный,Карта,P033,Бытовая техника Samsung Model 33,Бытовая техника,Samsung,Без акции,0.0445,2,22150.31,17831.57,0
L000094,ORD000961,2025-05-13,C00073,Самара,Магазин,Регулярный,Наличные,P021,Телевизоры Sony Model 21,Телевизоры,Sony,Weekend,0.0651,1,22919.54,17234.24,0
L000095,ORD004910,2025-11-24,C00460,Москва,Магазин,Новый,Карта,P053,Аксессуары Samsung Model 53,Аксессуары,Samsung,Black Friday,0.2033,1,1794.99,1432.81,0
L000096,ORD005976,2025-06-03,C01003,Москва,Сайт,Новый,Карта,P049,Аксессуары Apple Model 49,Аксессуары,Apple,Без акции,0.0369,3,647.39,506.47,0
L000097,ORD000966,2025-07-27,C00576,Санкт-Петербург,Магазин,Регулярный,Рассрочка,P015,Ноутбуки HP Model 15,Ноутбуки,HP,Без акции,0.0273,1,150578.29,119163.32,0
L000098,ORD002911,2025-04-23,C01885,Санкт-Петербург,Сайт,Регулярный,Карта,P017,Ноутбуки Lenovo Model 17,Ноутбуки,Lenovo,Без акции,0.0079,1,66456.11,50853.1,0
L000099,ORD001558,2025-03-21,C00784,Москва,Сайт,Регулярный,Карта,P044,Аудио Marshall Model 44,Аудио,Marshall,Без акции,0.062,1,41985.29,34955.32,0
L000100,ORD005247,2025-09-01,C01331,Новосибирск,Сайт,Регулярный,Рассрочка,P020,Телевизоры LG Model 20,Телевизоры,LG,Без акции,0.0323,1,65873.87,50209.04,0
L000101,ORD000237,2025-05-02,C01044,Москва,Магазин,Регулярный,Карта,P046,Аксессуары Xiaomi Model 46,Аксессуары,Xiaomi,Weekend,0.1047,1,551.84,408.63,0
L000102,ORD002077,2025-01-28,C01889,Казань,Маркетплейс,Новый,СБП,P041,Аудио Philips Model 41,Аудио,Philips,Без акции,0.0288,1,2905.01,2089.08,0
L000103,ORD000459,2025-05-05,C01610,Москва,Сайт,Регулярный,Рассрочка,P060,Игровая техника Sony Model 60,Игровая техника,Sony,Weekend,0.0273,1,6848.45,4324.53,1
L000104,ORD000059,2025-10-13,C00426,Новосибирск,Сайт,Регулярный,Карта,P020,Телевизоры LG Model 20,Телевизоры,LG,Без акции,0.0349,1,62081.63,47774.65,0
L000105,ORD002771,2025-08-27,C01742,Москва,Магазин,Новый,Карта,P002,Смартфоны Samsung Model 02,Смартфоны,Samsung,Без акции,0.0028,1,89027.35,73292.18,0
L000106,ORD002841,2025-09-26,C01728,Самара,Сайт,Регулярный,Карта,P055,Игровая техника Sony Model 55,Игровая техника,Sony,Без акции,0.0196,1,12094.41,8951.88,0
L000107,ORD001617,2025-08-08,C00549,Москва,Магазин,Новый,Карта,P007,Смартфоны Samsung Model 07,Смартфоны,Samsung,Без акции,0.0371,1,17745.66,11214.29,0
L000108,ORD004350,2025-12-30,C01607,Москва,Сайт,Регулярный,Рассрочка,P049,Аксессуары Apple Model 49,Аксессуары,Apple,Новый год,0.159,3,680.44,502.13,0
L000109,ORD000109,2025-05-04,C02230,Санкт-Петербург,Магазин,Регулярный,Карта,P014,Ноутбуки Acer Model 14,Ноутбуки,Acer,Без акции,0.0287,2,74266.77,44250.77,0
L000110,ORD001954,2025-04-22,C01727,Санкт-Петербург,Сайт,Новый,Карта,P044,Аудио Marshall Model 44,Аудио,Marshall,Без акции,0.0,2,39798.52,33970.81,0
L000111,ORD000657,2025-08-18,C01625,Самара,Магазин,Регулярный,Карта,P029,Бытовая техника LG Model 29,Бытовая техника,LG,Без акции,0.0461,1,94765.43,69270.33,0
L000112,ORD001608,2025-01-04,C00392,Екатеринбург,Сайт,Регулярный,Рассрочка,P058,Игровая техника ASUS Model 58,Игровая техника,ASUS,Weekend,0.0966,1,13483.98,9346.15,0
L000113,ORD005650,2025-01-17,C01679,Москва,Сайт,Новый,СБП,P009,Смартфоны Honor Model 09,Смартфоны,Honor,Без акции,0.0587,1,119353.06,83612.4,0
L000114,ORD000769,2025-07-04,C01145,Москва,Магазин,Новый,Карта,P030,Бытовая техника Philips Model 30,Бытовая техника,Philips,Без акции,0.0107,1,11882.91,7379.89,0
L000115,ORD002343,2025-08-30,C01712,Казань,Магазин,Регулярный,Рассрочка,P007,Смартфоны Samsung Model 07,Смартфоны,Samsung,Back-to-school,0.0919,1,18296.47,11734.48,0
L000116,ORD001536,2025-11-21,C01510,Москва,Магазин,Регулярный,Карта,P017,Ноутбуки Lenovo Model 17,Ноутбуки,Lenovo,Black Friday,0.2106,1,64661.94,49702.53,0
L000117,ORD001545,2025-04-29,C00545,Москва,Магазин,Регулярный,Карта,P060,Игровая техника Sony Model 60,Игровая техника,Sony,Weekend,0.0608,1,7156.03,4316.45,0
L000118,ORD001751,2025-02-07,C01182,Екатеринбург,Магазин,Регулярный,Карта,P021,Телевизоры Sony Model 21,Телевизоры,Sony,Weekend,0.0566,1,23979.54,17848.51,0
L000119,ORD003847,2025-01-27,C01622,Москва,Магазин,Регулярный,Карта,P006,Смартфоны Apple Model 06,Смартфоны,Apple,Weekend,0.0675,1,36893.12,29123.07,0
L000120,ORD003548,2025-12-24,C00532,Санкт-Петербург,Магазин,Новый,Карта,P051,Аксессуары Xiaomi Model 51,Аксессуары,Xiaomi,Новый год,0.13,1,2447.98,1724.65,0
L000121,ORD000481,2025-08-27,C02180,Москва,Магазин,Новый,Карта,P059,Игровая техника HyperX Model 59,Игровая техника,HyperX,Back-to-school,0.0828,1,32889.25,21417.66,0
L000122,ORD002959,2025-09-12,C00602,Москва,Маркетплейс,Регулярный,Карта,P026,Телевизоры Sony Model 26,Телевизоры,Sony,Back-to-school,0.1108,1,26499.68,19114.23,0
L000123,ORD004812,2025-06-30,C01427,Санкт-Петербург,Сайт,Регулярный,Карта,P025,Телевизоры LG Model 25,Телевизоры,LG,Без акции,0.0523,2,168212.23,112374.36,0
L000124,ORD002771,2025-08-27,C01742,Москва,Магазин,Новый,Карта,P049,Аксессуары Apple Model 49,Аксессуары,Apple,Back-to-school,0.1226,2,657.79,519.22,0
L000125,ORD005452,2025-12-27,C01906,Екатеринбург,Магазин,Регулярный,Карта,P012,Ноутбуки Lenovo Model 12,Ноутбуки,Lenovo,Новый год,0.1284,1,175986.55,142390.88,0
L000126,ORD000205,2025-04-25,C01688,Москва,Магазин,Регулярный,Карта,P021,Телевизоры Sony Model 21,Телевизоры,Sony,Weekend,0.0537,1,25030.52,17899.11,0
L000127,ORD003377,2025-01-10,C00009,Самара,Магазин,Регулярный,Наличные,P024,Телевизоры Samsung Model 24,Телевизоры,Samsung,Weekend,0.0555,1,22073.61,16690.18,0
L000128,ORD005141,2025-09-26,C01483,Казань,Сайт,VIP,Карта,P044,Аудио Marshall Model 44,Аудио,Marshall,Back-to-school,0.0781,1,42705.51,35352.37,0
L000129,ORD000524,2025-07-05,C00041,Казань,Сайт,Регулярный,Карта,P002,Смартфоны Samsung Model 02,Смартфоны,Samsung,Weekend,0.0503,1,93253.39,72156.55,0
L000130,ORD003915,2025-08-31,C00967,Москва,Маркетплейс,Регулярный,Карта,P053,Аксессуары Samsung Model 53,Аксессуары,Samsung,Back-to-school,0.1028,2,1783.32,1426.9,0
L000131,ORD003477,2025-05-17,C01900,Новосибирск,Магазин,Новый,Наличные,P003,Смартфоны Xiaomi Model 03,Смартфоны,Xiaomi,Без акции,0.0,1,84059.56,55574.09,0
L000132,ORD003062,2025-02-07,C00430,Санкт-Петербург,Магазин,Регулярный,СБП,P030,Бытовая техника Philips Model 30,Бытовая техника,Philips,Weekend,0.0435,1,11928.37,7447.13,0
L000133,ORD004665,2025-12-06,C00430,Екатеринбург,Сайт,Регулярный,СБП,P026,Телевизоры Sony Model 26,Телевизоры,Sony,Weekend,0.0411,1,26815.57,20021.61,1
L000134,ORD000855,2025-06-29,C00461,Новосибирск,Сайт,VIP,Карта,P047,Аксессуары Baseus Model 47,Аксессуары,Baseus,Без акции,0.0,1,532.38,395.6,0
L000135,ORD002318,2025-11-26,C01078,Москва,Сайт,Регулярный,СБП,P003,Смартфоны Xiaomi Model 03,Смартфоны,Xiaomi,Black Friday,0.1671,1,83165.56,55651.67,0
L000136,ORD001872,2025-07-08,C00747,Самара,Маркетплейс,Регулярный,Карта,P002,Смартфоны Samsung Model 02,Смартфоны,Samsung,Без акции,0.049,2,93539.58,70877.82,0
L000137,ORD001722,2025-06-29,C01948,Новосибирск,Магазин,Новый,СБП,P042,Аудио JBL Model 42,Аудио,JBL,Weekend,0.0811,1,70937.15,50364.24,0
L000138,ORD001137,2025-06-04,C00942,Екатеринбург,Магазин,Регулярный,Наличные,P052,Аксессуары Baseus Model 52,Аксессуары,Baseus,Без акции,0.0301,1,4683.71,3474.42,0
L000139,ORD001294,2025-12-31,C00882,Екатеринбург,Сайт,Регулярный,Рассрочка,P052,Аксессуары Baseus Model 52,Аксессуары,Baseus,Новый год,0.1801,1,4928.41,3557.76,0
L000140,ORD005498,2025-12-05,C00549,Самара,Сайт,Новый,СБП,P016,Ноутбуки Apple Model 16,Ноутбуки,Apple,Без акции,0.0473,2,120899.05,94057.46,0
L000141,ORD003921,2025-12-17,C00655,Казань,Сайт,VIP,Карта,P004,Смартфоны Honor Model 04,Смартфоны,Honor,Новый год,0.1633,1,19717.75,16226.57,0
L000142,ORD003860,2025-10-23,C01763,Москва,Маркетплейс,Регулярный,СБП,P013,Ноутбуки ASUS Model 13,Ноутбуки,ASUS,Без акции,0.0428,1,82052.96,49911.73,0
L000143,ORD002185,2025-10-20,C01869,Екатеринбург,Маркетплейс,Регулярный,Карта,P040,Аудио Xiaomi Model 40,Аудио,Xiaomi,Без акции,0.0391,1,23372.1,14562.49,0
L000144,ORD001709,2025-03-23,C00071,Казань,Сайт,Регулярный,Карта,P054,Аксессуары Apple Model 54,Аксессуары,Apple,Без акции,0.0563,1,2806.61,2095.21,0
L000145,ORD003744,2025-05-30,C00552,Москва,Магазин,Регулярный,СБП,P060,Игровая техника Sony Model 60,Игровая техника,Sony,Без акции,0.0267,2,6668.95,4230.39,0
